real_estate_price,station_name,station_location,station_distance,estate_lon,estate_lat
18781.0,余家头,"(114.352171, 30.608032)",0.012296213767945647,114.357595032,30.596996749668
18786.0,建设二路,"(114.376403, 30.624951)",0.008985492585270477,114.375397,30.616022
18787.0,建设二路,"(114.376403, 30.624951)",0.007814202710449799,114.377845,30.617271
18788.0,王家墩东,"(114.263288, 30.594245)",0.008192274696727871,114.25566863008,30.591235254707
18789.0,苗栗路,"(114.289952, 30.598804)",0.00340147100532205,114.293225,30.59973
18796.0,余家头,"(114.352171, 30.608032)",0.007388419082129559,114.35726532403,30.602680682479
18799.0,大智路,"(114.295038, 30.592581)",0.0036437668997728904,114.29609261885,30.589093190329
18800.0,华中科技大学,"(114.414237, 30.50741)",0.00463508899678434,114.41680851966,30.511266337206
18801.0,杨家湾,"(114.382732, 30.505122)",0.007406374349168413,114.379391,30.511732
18803.0,宝通寺,"(114.341206, 30.530349)",0.005658398536694171,114.335861,30.528492
18811.0,香港路,"(114.284769, 30.605235)",0.00335161647566823,114.283527,30.608348
18813.0,瑞安街,"(114.314257, 30.516522)",0.0025736191259441914,114.31664099762,30.517491572459
18814.0,徐东,"(114.346233, 30.587975)",0.003277437566145734,114.347124,30.591129
18821.0,三阳路,"(114.301348, 30.598718)",0.003174165244589568,114.304463,30.599328
18822.0,湖口,"(114.448734, 30.487938)",0.005978907258027105,114.443238,30.490292
18826.0,武昌火车站,"(114.316449, 30.530624)",0.004445994152044564,114.314329,30.534532
18829.0,古田四路,"(114.211532, 30.589347)",0.00957199380040778,114.2182843527,30.596131452692
18832.0,五里墩,"(114.241105, 30.553977)",0.00846814454292934,114.244749,30.561621
18833.0,十里铺,"(114.219444, 30.55932)",0.008783526057342934,114.220523,30.568037
18835.0,小洪山,"(114.352367, 30.53561)",0.009558298227193994,114.361244,30.539154
18836.0,街道口,"(114.353503, 30.526597)",0.006387281268265116,114.357902,30.531228
18844.0,龙阳村,"(114.206329, 30.552879)",0.004702648483446541,114.21016094897,30.550153001128
18846.0,建设二路,"(114.376403, 30.624951)",0.0046233895450216575,114.3766990918,30.620337101374
18849.0,首义路,"(114.308531, 30.533612)",0.004091825631668293,114.30899,30.537678
18859.0,余家头,"(114.352171, 30.608032)",0.002350208155050417,114.35283968798,30.610285072293
18864.0,司门口黄鹤楼,"(114.302501, 30.546913)",0.0029449811544370466,114.302906,30.54983
18865.0,取水楼,"(114.274655, 30.597634)",0.007438674209839358,114.28207,30.597041
18867.0,江汉路,"(114.292306, 30.579581)",0.003833772554547978,114.29255,30.575755
18870.0,小龟山,"(114.32652, 30.551108)",0.00226668944513801,114.32877057,30.551377843873
18870.0,光谷大道,"(114.423817, 30.506535)",0.012932977926570865,114.43495519069,30.513107870469
18871.0,广埠屯,"(114.364207, 30.522437)",0.007748133000918184,114.361585,30.529728
18879.0,珞雄路,"(114.404837, 30.506941)",0.00939781585802112,114.40145853048,30.515710543124
18880.0,湖口,"(114.448734, 30.487938)",0.024434306061546233,114.45668362615,30.511042950915
18881.0,古田四路,"(114.211532, 30.589347)",0.010790935940217298,114.21615545142,30.599097281813
18885.0,惠济二路,"(114.291463, 30.612937)",0.0035224095446150416,114.292338,30.609525
18889.0,杨汊湖,"(114.261081, 30.635814)",0.008816204682293403,114.253012,30.639366
18889.0,三阳路,"(114.301348, 30.598718)",0.0022019157567919182,114.301636,30.596535
18890.0,硚口路,"(114.250444, 30.571547)",0.0033980211888661326,114.252646,30.568959
18893.0,大智路,"(114.295038, 30.592581)",0.009689415101025467,114.303481,30.587827
18894.0,三眼桥,"(114.275743, 30.610324)",0.0029664055690337464,114.272782,30.610145
18894.0,中南路,"(114.332959, 30.537528)",0.006240400067297726,114.339147,30.536721
18902.0,循礼门,"(114.285992, 30.585234)",0.004044217329505245,114.28964991609,30.583509081542
18903.0,梅苑小区,"(114.326149, 30.530916)",0.00963159483399713,114.32738953528,30.521364628828
18905.0,街道口,"(114.353503, 30.526597)",0.001352776773900107,114.35447,30.525651
18906.0,七里庙,"(114.231208, 30.556688)",0.016584498304139866,114.229536,30.540188
18908.0,小龟山,"(114.32652, 30.551108)",0.001820626540509847,114.327875,30.549892
18912.0,汉阳火车站,"(114.252849, 30.551732)",0.007918834790995597,114.25475992729,30.544047190221
18918.0,循礼门,"(114.285992, 30.585234)",0.0028520750818345313,114.28485888376,30.582616676967
18919.0,竹叶山,"(114.287104, 30.625318)",0.005473830925411488,114.281987,30.623374
18928.0,首义路,"(114.308531, 30.533612)",0.006768638341644199,114.31358,30.53812
18929.0,新河街,"(114.317111, 30.56256)",0.0030272233151931757,114.320136,30.562444
18932.0,建设二路,"(114.376403, 30.624951)",0.007654749375382666,114.369821,30.628859
18939.0,苗栗路,"(114.289952, 30.598804)",0.006765600638524424,114.286298,30.59311
18944.0,省农科院,"(114.325808, 30.481799)",0.008710583328967736,114.33286468161,30.476692385996
18948.0,徐州新村,"(114.322936, 30.631171)",0.00570397934132737,114.32572373811,30.636147333646
18956.0,文治街,"(114.344226, 30.49999)",0.016737680155869565,114.331227,30.510534
18957.0,青鱼嘴,"(114.349884, 30.56372)",0.006337895628681307,114.343548,30.563875
18958.0,金银潭,"(114.242807, 30.650412)",0.009408961951248435,114.244105,30.659731
18958.0,百步亭花园路,"(114.315485, 30.654377)",0.00748446684005234,114.31982547545,30.660474336857
18960.0,文治街,"(114.344226, 30.49999)",0.009710961478613854,114.34328030312,30.490325196316
18961.0,三眼桥,"(114.275743, 30.610324)",0.008076579721631767,114.281461,30.616028
18963.0,虎泉,"(114.370478, 30.512359)",0.0026640845714172314,114.36832577881,30.510788875625
18966.0,建安街,"(114.313759, 30.504025)",0.00038039058873885897,114.313675,30.504396
18966.0,螃蟹岬,"(114.317476, 30.553333)",0.00545341379321718,114.321425,30.557094
18971.0,余家头,"(114.352171, 30.608032)",0.009841457595951661,114.35277395943,30.598209030615
18975.0,太平洋,"(114.240741, 30.574025)",0.007755219070463489,114.24123057312,30.581764750706
18979.0,三眼桥,"(114.275743, 30.610324)",0.004484601623127514,114.27136017538,30.609373999964
18979.0,佳园路,"(114.430905, 30.500021)",0.013096410081615764,114.43868332949,30.510557296663
18980.0,大智路,"(114.295038, 30.592581)",0.004561831759286657,114.29426,30.597076
18982.0,琴台,"(114.266282, 30.557559)",0.008716461456455145,114.2744596904,30.55454203463
18983.0,循礼门,"(114.285992, 30.585234)",0.004045664963889036,114.289035,30.5879
18986.0,科普公园,"(114.364928, 30.617733)",0.00488764779827968,114.363018,30.622232
18986.0,珞雄路,"(114.404837, 30.506941)",0.02163793004616905,114.40677565718,30.528491907754
18987.0,马池,"(114.225407, 30.655554)",0.010002663645248402,114.218219,30.648598
18987.0,市民之家,"(114.296806, 30.661297)",0.006682167911696655,114.290308,30.659739
18987.0,惠济二路,"(114.291463, 30.612937)",0.003995631864925347,114.291318,30.61693
18987.0,罗家庄,"(114.303976, 30.623628)",0.004240936806884935,114.305064,30.619529
18987.0,中南路,"(114.332959, 30.537528)",0.004085424090593563,114.337006,30.538087
18990.0,塔子湖,"(114.280364, 30.652594)",0.007351988166470065,114.286277,30.648225
18990.0,珞雄路,"(114.404837, 30.506941)",0.015406177405863728,114.4057685721,30.522318986724
18994.0,省农科院,"(114.325808, 30.481799)",0.007606706754470942,114.33315378077,30.479823780385
19009.0,古田三路,"(114.20474, 30.593382)",0.001756189404510533,114.20603211346,30.592192611909
19014.0,螃蟹岬,"(114.317476, 30.553333)",0.001089692158369117,114.316403,30.553523
19020.0,七里庙,"(114.231208, 30.556688)",0.006588590197797346,114.23607666043,30.561127106488
19022.0,金融港北,"(114.420416, 30.461963)",0.010647174104043195,114.41075421142,30.466436495036
19027.0,珞雄路,"(114.404837, 30.506941)",0.01994904206392729,114.40434184459,30.486998104012
19028.0,取水楼,"(114.274655, 30.597634)",0.0048159822466443784,114.274361,30.592827
19029.0,佳园路,"(114.430905, 30.500021)",0.005568270557365431,114.431064,30.494455
19031.0,取水楼,"(114.274655, 30.597634)",0.006837043586233949,114.280929,30.594917
19031.0,宝通寺,"(114.341206, 30.530349)",0.008190256284145742,114.344113,30.522692
19033.0,兴业路,"(114.30422, 30.641133)",0.009394991910582295,114.295347,30.644221
19036.0,小东门,"(114.318461, 30.545012)",0.007430449044304758,114.314758,30.53857
19043.0,余家头,"(114.352171, 30.608032)",0.006071055104073476,114.34738520492,30.61176748866
19044.0,菱角湖,"(114.27579, 30.604121)",0.0042978423656486985,114.271505,30.603789
19045.0,豹澥,"(114.522905, 30.488736)",0.0077454340097858,114.519193,30.495534
19048.0,汪家墩,"(114.350076, 30.585167)",0.01099990295412034,114.356908,30.593788
19049.0,首义路,"(114.308531, 30.533612)",0.007576249533908594,114.307732,30.526078
19049.0,岳家嘴,"(114.36201, 30.577109)",0.004343670337397886,114.358846,30.574133
19056.0,黄浦路,"(114.308156, 30.608404)",0.0061628357920606325,114.302164,30.606963
19059.0,昙华林武胜门,"(114.305282, 30.554209)",0.002646556252946385,114.303618,30.556267
19060.0,友谊路,"(114.278415, 30.580865)",0.0017025328130913686,114.27671271012,30.580836239887
19065.0,琴台,"(114.266282, 30.557559)",0.003929142400070424,114.264398,30.554111
19072.0,徐州新村,"(114.322936, 30.631171)",0.006448373826014311,114.327663,30.635557
19072.0,街道口,"(114.353503, 30.526597)",0.003731741684519359,114.353617,30.522867
19073.0,复兴路,"(114.301225, 30.534309)",0.0015199766569234095,114.30272756976,30.534079624426
19073.0,小东门,"(114.318461, 30.545012)",0.006755102441854691,114.325014,30.543372
19074.0,苗栗路,"(114.289952, 30.598804)",0.006609937140399896,114.283362,30.598291
19079.0,苗栗路,"(114.289952, 30.598804)",0.004948660020648616,114.285858,30.596024
19079.0,梅苑小区,"(114.326149, 30.530916)",0.00710232468984921,114.331203,30.525926
19080.0,马房山,"(114.350438, 30.516234)",0.0051999169224153435,114.351794,30.511214
19086.0,太平洋,"(114.240741, 30.574025)",0.009931489515674267,114.233569,30.567155
19087.0,琴台,"(114.266282, 30.557559)",0.016725919107782476,114.282863,30.555362
19087.0,珞雄路,"(114.404837, 30.506941)",0.00744793776826714,114.405526,30.514357
19091.0,岳家嘴,"(114.36201, 30.577109)",0.007431047368976777,114.361438,30.584518
19098.0,唐家墩,"(114.271276, 30.617653)",0.0043721245407721,114.267253,30.619365
19098.0,珞雄路,"(114.404837, 30.506941)",0.014495605161565542,114.407725,30.521146
19100.0,青年路,"(114.264757, 30.585762)",0.006081940644234774,114.263756,30.579763
19100.0,珞雄路,"(114.404837, 30.506941)",0.010261781854884182,114.40737838525,30.516883108823
19101.0,徐家棚,"(114.332095, 30.588494)",0.00698488780912924,114.33787741921,30.592412199304
19106.0,双墩,"(114.232026, 30.58666)",0.008808329118314293,114.22913069328,30.594978885794
19108.0,宝通寺,"(114.341206, 30.530349)",0.006846518020133869,114.342409,30.537089
19114.0,循礼门,"(114.285992, 30.585234)",0.0028442405165882245,114.28447409502,30.587639341678
19117.0,利济北路,"(114.270119, 30.577433)",0.0015950578699307312,114.26994096674,30.575847908909
19119.0,徐州新村,"(114.322936, 30.631171)",0.004277818659726245,114.3262204609,30.633911811756
